#	Isochrone	Z = 0.03000		Age = 	6.310e+07 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.80	4.50000000	4.4975	2.6560	4.1587	4.0158	-1.870	-1.491	-0.943	-0.793	-0.739	-0.652	-0.457	-0.397	-0.349	-0.09723650
	7.80	4.62726402	4.6245	2.7129	4.1647	3.9948	-2.012	-1.617	-1.054	-0.901	-0.845	-0.757	-0.557	-0.497	-0.446	-0.09364368
	7.80	4.93038082	4.9267	2.8490	4.1761	3.9321	-2.352	-1.927	-1.334	-1.175	-1.114	-1.025	-0.816	-0.755	-0.702	-0.08595628
	7.80	5.00000000	4.9961	2.8805	4.1781	3.9146	-2.431	-2.000	-1.403	-1.242	-1.181	-1.092	-0.880	-0.820	-0.766	-0.08434449
	7.80	5.19218063	5.1875	2.9649	4.1826	3.8644	-2.642	-2.199	-1.591	-1.427	-1.365	-1.275	-1.060	-0.999	-0.944	-0.08015747
	7.80	5.40901852	5.4033	3.0626	4.1847	3.7930	-2.887	-2.441	-1.826	-1.660	-1.596	-1.507	-1.290	-1.228	-1.173	-0.07585012
	7.80	5.59109116	5.5843	3.1471	4.1832	3.7165	-3.098	-2.663	-2.047	-1.881	-1.818	-1.729	-1.513	-1.452	-1.398	-0.07253471
	7.80	5.74465322	5.7368	3.2207	4.1783	3.6353	-3.282	-2.870	-2.258	-2.094	-2.033	-1.947	-1.732	-1.672	-1.620	-0.06992944
	7.80	5.87481689	5.8657	3.2859	4.1701	3.5470	-3.445	-3.065	-2.467	-2.305	-2.247	-2.163	-1.954	-1.896	-1.846	-0.06784594
	7.80	5.98404217	5.9738	3.3430	4.1592	3.4540	-3.588	-3.251	-2.670	-2.511	-2.457	-2.375	-2.175	-2.120	-2.070	-0.06617950
	7.80	6.00000000	5.9895	3.3518	4.1573	3.4387	-3.610	-3.280	-2.702	-2.544	-2.490	-2.409	-2.210	-2.157	-2.107	-0.06594199
	7.80	6.03500748	6.0241	3.3705	4.1531	3.4058	-3.656	-3.343	-2.771	-2.614	-2.562	-2.482	-2.287	-2.234	-2.185	-0.06542612
	7.80	6.08014059	6.0686	3.3960	4.1482	3.3639	-3.720	-3.426	-2.862	-2.706	-2.656	-2.577	-2.386	-2.334	-2.285	-0.06477133
	7.80	6.11264992	6.1006	3.4173	4.1467	3.3390	-3.773	-3.486	-2.923	-2.768	-2.718	-2.640	-2.450	-2.398	-2.350	-0.06430672
	7.80	6.12844324	6.1162	3.4301	4.1488	3.3355	-3.805	-3.512	-2.944	-2.789	-2.738	-2.659	-2.467	-2.415	-2.367	-0.06408310
	7.80	6.14295244	6.1305	3.4465	4.1562	3.3497	-3.846	-3.528	-2.946	-2.788	-2.735	-2.654	-2.456	-2.403	-2.353	-0.06387885
	7.80	6.15263081	6.1400	3.4707	4.1742	3.3984	-3.907	-3.527	-2.910	-2.745	-2.687	-2.603	-2.389	-2.331	-2.280	-0.06374323
	7.80	6.15533161	6.1427	3.4931	4.1900	3.4391	-3.963	-3.527	-2.882	-2.709	-2.645	-2.555	-2.333	-2.271	-2.215	-0.06370548
	7.80	6.15692520	6.1442	3.5309	4.2100	3.4818	-4.057	-3.549	-2.868	-2.685	-2.615	-2.518	-2.283	-2.217	-2.157	-0.06368322
	7.80	6.15696955	6.1443	3.5293	4.2099	3.4827	-4.053	-3.545	-2.865	-2.682	-2.612	-2.515	-2.280	-2.214	-2.154	-0.06368260
	7.80	6.15734482	6.1446	3.4882	4.1973	3.4735	-3.951	-3.487	-2.829	-2.653	-2.586	-2.494	-2.267	-2.204	-2.146	-0.06367736
	7.80	6.15768719	6.1450	3.4722	4.1792	3.4170	-3.910	-3.513	-2.887	-2.720	-2.660	-2.574	-2.357	-2.298	-2.246	-0.06367258
	7.80	6.15799284	6.1453	3.4836	4.1627	3.3396	-3.939	-3.601	-3.005	-2.844	-2.789	-2.707	-2.503	-2.449	-2.398	-0.06366831
	7.80	6.15835094	6.1456	3.5016	4.1443	3.2483	-3.984	-3.712	-3.147	-2.993	-2.944	-2.867	-2.679	-2.627	-2.580	-0.06366331
	7.80	6.15875864	6.1460	3.5159	4.1240	3.1526	-4.020	-3.816	-3.291	-3.144	-3.101	-3.032	-2.860	-2.815	-2.767	-0.06365763
	7.80	6.15921450	6.1465	3.5247	4.1012	3.0529	-4.042	-3.911	-3.432	-3.295	-3.262	-3.198	-3.044	-3.001	-2.962	-0.06365126
