#	Isochrone	Z = 0.00800		Age = 	6.310e+07 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.80	5.00000000	4.9965	2.9150	4.2307	4.0906	-2.517	-1.807	-1.140	-0.961	-0.889	-0.789	-0.550	-0.480	-0.420	-0.08434449
	7.80	5.02811337	5.0245	2.9263	4.2316	4.0853	-2.546	-1.833	-1.163	-0.984	-0.912	-0.812	-0.572	-0.502	-0.442	-0.08370847
	7.80	5.28925180	5.2848	3.0324	4.2377	4.0255	-2.811	-2.078	-1.397	-1.214	-1.141	-1.038	-0.795	-0.725	-0.662	-0.07817790
	7.80	5.51098347	5.5056	3.1242	4.2405	3.9628	-3.040	-2.300	-1.612	-1.428	-1.353	-1.249	-1.005	-0.935	-0.871	-0.07396171
	7.80	5.69993114	5.6936	3.2047	4.2404	3.8961	-3.242	-2.505	-1.815	-1.630	-1.556	-1.452	-1.208	-1.138	-1.074	-0.07067117
	7.80	5.86115599	5.8539	3.2759	4.2374	3.8253	-3.420	-2.698	-2.009	-1.826	-1.753	-1.650	-1.407	-1.337	-1.274	-0.06805951
	7.80	5.99897242	5.9907	3.3392	4.2318	3.7493	-3.578	-2.881	-2.198	-2.018	-1.947	-1.846	-1.606	-1.536	-1.475	-0.06595724
	7.80	6.00000000	5.9917	3.3397	4.2317	3.7487	-3.579	-2.883	-2.200	-2.019	-1.949	-1.848	-1.607	-1.537	-1.477	-0.06594199
	7.80	6.12154198	6.1122	3.3959	4.2236	3.6686	-3.720	-3.056	-2.385	-2.209	-2.139	-2.041	-1.806	-1.738	-1.678	-0.06418065
	7.80	6.22659874	6.2162	3.4470	4.2135	3.5846	-3.847	-3.225	-2.570	-2.398	-2.328	-2.234	-2.007	-1.943	-1.883	-0.06272310
	7.80	6.27338839	6.2625	3.4709	4.2083	3.5431	-3.907	-3.308	-2.661	-2.490	-2.420	-2.328	-2.105	-2.043	-1.983	-0.06209238
	7.80	6.31644678	6.3050	3.4945	4.2040	3.5052	-3.966	-3.386	-2.746	-2.576	-2.506	-2.416	-2.196	-2.136	-2.076	-0.06152164
	7.80	6.34528685	6.3335	3.5117	4.2029	3.4855	-4.009	-3.435	-2.796	-2.626	-2.557	-2.467	-2.247	-2.187	-2.128	-0.06114445
	7.80	6.36266232	6.3506	3.5240	4.2052	3.4834	-4.040	-3.457	-2.814	-2.643	-2.574	-2.483	-2.262	-2.201	-2.142	-0.06091914
	7.80	6.37648964	6.3642	3.5372	4.2121	3.4990	-4.073	-3.462	-2.806	-2.633	-2.563	-2.470	-2.244	-2.181	-2.121	-0.06074087
	7.80	6.38575888	6.3734	3.5552	4.2277	3.5440	-4.118	-3.445	-2.761	-2.582	-2.512	-2.413	-2.175	-2.105	-2.045	-0.06062187
	7.80	6.38836193	6.3759	3.5724	4.2411	3.5808	-4.161	-3.437	-2.732	-2.548	-2.473	-2.369	-2.124	-2.054	-1.990	-0.06058853
	7.80	6.38992977	6.3775	3.6019	4.2579	3.6184	-4.235	-3.449	-2.718	-2.525	-2.445	-2.334	-2.082	-2.011	-1.941	-0.06056846
	7.80	6.38997412	6.3775	3.6008	4.2577	3.6188	-4.232	-3.446	-2.716	-2.524	-2.443	-2.332	-2.080	-2.009	-1.939	-0.06056789
	7.80	6.39043427	6.3780	3.5635	4.2441	3.6017	-4.139	-3.403	-2.694	-2.508	-2.433	-2.327	-2.082	-2.012	-1.946	-0.06056200
	7.80	6.39080906	6.3784	3.5527	4.2270	3.5438	-4.112	-3.441	-2.759	-2.580	-2.510	-2.412	-2.174	-2.105	-2.045	-0.06055721
	7.80	6.39113665	6.3787	3.5637	4.2115	3.4710	-4.139	-3.534	-2.877	-2.704	-2.634	-2.541	-2.315	-2.252	-2.193	-0.06055302
	7.80	6.39151573	6.3790	3.5822	4.1943	3.3839	-4.186	-3.652	-3.020	-2.853	-2.789	-2.702	-2.487	-2.428	-2.372	-0.06054817
	7.80	6.39194155	6.3795	3.5990	4.1753	3.2909	-4.227	-3.771	-3.166	-3.006	-2.950	-2.871	-2.667	-2.611	-2.557	-0.06054272
	7.80	6.39241409	6.3799	3.6112	4.1540	3.1936	-4.258	-3.882	-3.311	-3.162	-3.111	-3.042	-2.851	-2.800	-2.753	-0.06053668
	7.80	6.39292908	6.3804	3.6195	4.1299	3.0888	-4.279	-3.986	-3.459	-3.320	-3.275	-3.214	-3.044	-2.999	-2.958	-0.06053010
	7.80	6.39329481	6.3808	3.6231	4.1120	3.0139	-4.288	-4.052	-3.558	-3.429	-3.389	-3.330	-3.181	-3.142	-3.102	-0.06052542
	7.80	6.39366961	6.3812	3.6251	4.0922	2.9325	-4.293	-4.121	-3.668	-3.548	-3.512	-3.464	-3.327	-3.298	-3.258	-0.06052063
	7.80	6.39386511	6.3813	3.6254	4.0815	2.8894	-4.294	-4.154	-3.726	-3.607	-3.578	-3.531	-3.404	-3.376	-3.336	-0.06051814
	7.80	6.39422607	6.3817	3.6247	4.0603	2.8054	-4.292	-4.198	-3.821	-3.715	-3.689	-3.660	-3.540	-3.521	-3.491	-0.06051352
	7.80	6.39459848	6.3820	3.6224	4.0362	2.7115	-4.286	-4.237	-3.923	-3.830	-3.811	-3.788	-3.698	-3.685	-3.655	-0.06050877
	7.80	6.39497471	6.3824	3.6180	4.0087	2.6058	-4.275	-4.274	-4.038	-3.955	-3.944	-3.933	-3.876	-3.866	-3.843	-0.06050396
	7.80	6.39535093	6.3828	3.6111	3.9769	2.4856	-4.258	-4.269	-4.141	-4.082	-4.082	-4.083	-4.065	-4.075	-4.056	-0.06049916
	7.80	6.39554310	6.3830	3.6064	3.9587	2.4173	-4.246	-4.259	-4.189	-4.145	-4.152	-4.164	-4.174	-4.185	-4.180	-0.06049670
	7.80	6.39573526	6.3831	3.6007	3.9392	2.3451	-4.232	-4.229	-4.224	-4.198	-4.210	-4.245	-4.277	-4.301	-4.300	-0.06049425
